alcha
ami
battsie
bite
blush
cats
cheeki
cheeky
coffee
confused
cry
dance
dingle
disgusted
dodge
dreamy
edge
foupa
honkers
hug
kayla
key
kick
kill
killme
kiss
lewd
lick
love
miku
nobulli
nod
not-working
pat
poke
pout
punch
rawr
rekt
rin
rose
scare
shank
slap
spank
spoopy
squirtle
sunless
tickle
trump
vapenation
wave
whack
zorika
